,Author,helpful_votes,reviews,hearts,idea_lists
0,ella kostinsly,265,2,0,0
0,R. Martin,130,6,0,0
0,McPack,104,29,0,0
0,Aileen M.,36,6,0,0
0,Nashville Matt,30,35,0,0
0,Anna B,86,23,0,0
0,Marc,25,21,0,0
0,Chris Kuehner,179,26,0,0
0,Terry LeBeau,25,20,0,0
0,Pedro Ferrer III,9,5,0,0
0,Juliet  P,5,8,0,0
0,Cantrech23,30,145,0,0
0,Kawirider,3,4,0,0
0,NeatWords.com,38,18,0,0
0,R Wayne Whitacre,8,4,0,0
0,Wade Dukes,25,58,0,0
0,RXW,18,22,0,0
0,Lucas Johnson,48,22,0,0
0,Victor,113,69,0,0
0,SHP,8,12,0,1
0,Amazon Customer,6,9,0,0
0,Michael White,7,6,0,0
0,Cheddarlog,100,67,0,0
0,Mz. May,16,19,0,0
0,Terry Mason,13,35,0,0
0,Pat f,31,160,0,0
0,football fan,12,33,0,0
0,Air,152,139,0,0
0,D. Calloway,300,101,0,0
0,Chandler Grunstad,2,1,0,0
0,Mimi,29,84,0,0
0,irishhandyman,39,68,0,0
0,JHW,40,73,0,0
0,cedec14,27,69,0,0
0,Kindle Gal,24,68,0,1
0,Amazon Customer,2,16,0,0
0,Janice R.,2,21,0,0
0,Dennis M.,2,4,0,0
0,IB,2,32,0,0
0,H. A. Weiss,28,96,0,0
0,Amazon Customer,1,1,0,0
0,Spartacus,31,35,0,0
0,Rae G.,19,30,0,0
0,Petesthousandpeaks,338,88,0,0
0,Rebel 62,232,77,0,0
0,samantha Mussey,8,6,0,1
0,B. Hall,469,142,0,0
0,Jay,21,13,0,0
0,Jeremy Quinnan,10,27,0,1
